x,y,z
0,10,0
-0.208553,9.996,0.191052
0.034966,9.992,-0.39842
0.298016,9.988,0.388709
-0.556872,9.984,-0.0985025
0.533423,9.98,-0.33932
-0.179767,9.976,0.668728
-0.344705,9.97199,-0.663708
0.750932,9.96799,0.274238
-0.783703,9.96399,0.323502
0.378756,9.95999,-0.809381
0.280473,9.95599,0.894192
-0.846798,9.95199,-0.490735
0.994821,9.94799,-0.21871
-0.607866,9.94399,0.86463
-0.140581,9.93999,-1.08484
0.863806,9.93599,0.728014
-1.16333,9.93199,0.0481088
0.849146,9.92799,-0.845016
-0.0568448,9.92398,1.22935
-0.8089,9.91998,-0.969332
1.282,9.91598,0.172491
-1.0867,9.91198,0.756099
0.297062,9.90798,-1.32047
0.687333,9.90398,1.19948
-1.34408,9.89998,-0.428791
1.30596,9.89598,-0.60339
-0.565908,9.89198,1.35222
-0.505183,9.88798,-1.40452
1.3445,9.88398,0.706627
-1.49367,9.87998,0.393732
0.849148,9.87598,-1.32063
0.270164,9.87197,1.57198
-1.2805,9.86797,-0.991683
1.63818,9.86397,-0.135724
-1.13244,9.85997,1.22414
0.00824585,9.85597,-1.69108
1.15179,9.85197,1.26967
-1.72968,9.84797,-0.160303
1.40164,9.84397,-1.0638
-0.318921,9.83997,1.75309
-0.960724,9.83597,-1.52668
1.76058,9.83197,0.482499
-1.64317,9.82797,0.843252
0.649373,9.82397,-1.75158
0.712233,9.81996,1.74958
-1.72569,9.81596,-0.817837
1.84446,9.81196,-0.568667
-0.98613,9.80796,1.68269
-0.413699,9.80396,-1.92645
1.62249,9.79996,1.15252
-1.99434,9.79596,0.248567
1.31524,9.79196,-1.54522
0.0746649,9.78796,2.04703
-1.45115,9.78396,-1.47253
2.08354,9.77996,0.106518
-1.62268,9.77596,1.34075
0.2934,9.77195,-2.10305
1.21464,9.76795,1.76401
-2.10491,9.76395,-0.484322
1.89492,9.75995,-1.0736
-0.677556,9.75595,2.08862
-0.918579,9.75195,-2.01387
2.05384,9.74795,0.87133
-2.11942,9.74395,0.75067
1.06384,9.73995,-2.00042
0.571108,9.73595,2.21024
-1.92836,9.73195,-1.25325
2.28511,9.72795,-0.381262
-1.43774,9.72394,1.83788
-0.182615,9.71994,-2.34293
1.72933,9.71594,1.61551
-2.38278,9.71194,-0.0232378
1.78477,9.70794,-1.60327
-0.234611,9.70394,2.40385
-1.4604,9.69994,-1.94381
2.40551,9.69594,0.449738
-2.09096,9.69194,1.30163
0.666791,9.68794,-2.38731
1.12798,9.68394,2.22464
-2.34895,9.67994,-0.883892
2.34338,9.67593,-0.940669
-1.09913,9.67193,2.29033
-0.741028,9.66793,-2.4458
2.2115,9.66393,1.31059
-2.53066,9.65993,0.530536
1.51635,9.65593,-2.11274
0.31079,9.65193,2.59685
-1.99448,9.64793,-1.7145
2.64342,9.64393,-0.0834936
-1.90319,9.63993,1.85733
0.149552,9.63593,-2.66956
1.70209,9.63193,2.0806
-2.67464,9.62793,-0.386468
2.245,9.62392,-1.52973
-0.625313,9.61992,2.6582
-1.34141,9.61592,-2.39471
2.61999,9.61192,0.864055
-2.52824,9.60792,1.13836
1.10076,9.60392,-2.55989
0.922047,9.59992,2.64412
-2.47801,9.59592,-1.33334
2.74106,9.59192,-0.694049
-1.55978,9.58792,2.37464
-0.456066,9.58392,-2.8179
2.25026,9.57992,1.77807
-2.87364,9.57592,0.20991
1.98624,9.57191,-2.10554
-0.0425113,9.56791,2.90744
-1.94133,9.56391,-2.18239
2.91866,9.55991,0.299206
-2.36467,9.55591,1.75866
0.55812,9.55191,-2.90681
1.55873,9.54791,2.53136
-2.8716,9.54391,-0.817147
2.68081,9.53991,-1.34291
-1.07415,9.53591,2.81295
-1.11272,9.53191,-2.81151
2.73096,9.52791,1.32699
-2.9221,9.5239,0.869827
1.57351,9.5199,-2.62593
0.616016,9.5159,3.01133
-2.49836,9.5119,-1.8116
3.07816,9.5079,-0.3532
-2.03919,9.5039,2.34895
-0.0833895,9.4999,-3.12169
2.1786,9.4959,2.25424
-3.14122,9.4919,-0.19132
2.45483,9.4879,-1.98837
-0.468765,9.4839,3.13623
-1.77952,9.4799,-2.63911
3.10641,9.47589,0.746728
-2.80534,9.47189,1.55347
1.02296,9.46789,-3.05164
1.31183,9.46389,2.95192
-2.97202,9.45989,-1.2952
3.07739,9.45589,-1.05631
-1.56119,9.45189,2.86783
-0.788795,9.44789,-3.18044
2.73958,9.44389,1.8187
-3.25992,9.43989,0.511282
2.06553,9.43589,-2.58798
0.225873,9.43189,3.31489
-2.41394,9.42789,-2.29954
3.34457,9.42388,0.0652412
-2.51869,9.41988,2.21855
0.359793,9.41588,-3.34839
2.00312,9.41188,2.72103
-3.32598,9.40788,-0.655461
2.9047,9.40388,-1.76911
-0.949888,9.39988,3.27719
-1.51817,9.39588,-3.068
3.20208,9.39188,1.2407
-3.20937,9.38788,1.25209
1.52552,9.38388,-3.10091
0.97281,9.37988,3.3274
-2.97419,9.37588,-1.802
3.42086,9.37187,-0.682404
-2.06782,9.36787,2.8226
-0.383057,9.36387,-3.48872
2.64706,9.35987,2.32075
-3.53012,9.35587,0.0770497
2.5586,9.35187,-2.44869
-0.233257,9.34787,3.54442
-2.2288,9.34387,-2.77931
3.5312,9.33987,0.545442
-2.98092,9.33587,1.98889
0.857044,9.33187,-3.49024
1.73064,9.32787,3.16161
-3.42155,9.32386,-1.16558
3.31971,9.31986,-1.4559
-1.46856,9.31586,3.32536
-1.16666,9.31186,-3.45371
3.20214,9.30786,1.76352
-3.56228,9.30386,0.865053
2.04803,9.29986,-3.05257
0.553344,9.29586,3.64428
-2.87754,9.29186,-2.31973
3.69878,9.28786,-0.233889
-2.57632,9.28386,2.67817
0.0908639,9.27986,-3.72505
2.45578,9.27586,2.81561
-3.72259,9.27185,-0.418402
3.03554,9.26785,-2.21188
-0.746163,9.26385,3.69111
-1.94818,9.25985,-3.23415
3.63056,9.25585,1.07156
-3.40967,9.25185,1.66656
1.392,9.24785,-3.54113
1.36907,9.24385,3.56046
-3.42323,9.23985,-1.7049
3.68511,9.23585,-1.05788
-2.00762,9.23185,3.27757
-0.735442,9.22785,-3.78233
3.10491,9.22384,2.29788
-3.85114,9.21984,0.403945
2.57316,9.21584,-2.90639
0.0660307,9.21184,3.89071
-2.68333,9.20784,-2.83115
3.90042,9.20384,0.275703
-3.06965,9.19984,2.43725
0.618603,9.19584,-3.87993
2.16987,9.19184,3.28661
-3.82911,9.18784,-0.959983
3.4801,9.18384,-1.88309
