x,y,z
-0.344705,9.97199,-0.663708
0.750932,9.96799,0.274238
0.849146,9.92799,-0.845016
-0.318921,9.83997,1.75309
-2.10491,9.76395,-0.484322
-0.918579,9.75195,-2.01387
2.05384,9.74795,0.87133
-2.11942,9.74395,0.75067
-1.90319,9.63993,1.85733
1.70209,9.63193,2.0806
-3.14122,9.4919,-0.19132
2.45483,9.4879,-1.98837
1.02296,9.46789,-3.05164
3.07739,9.45589,-1.05631
-1.51817,9.39588,-3.068
-3.20937,9.38788,1.25209
0.97281,9.37988,3.3274
-1.46856,9.31586,3.32536
3.20214,9.30786,1.76352
-2.87754,9.29186,-2.31973
3.90042,9.20384,0.275703
2.16987,9.19184,3.28661
3.05841,8.9958,-3.11797
-0.0325034,8.92378,-4.51276
-4.51406,8.91578,-0.363421
-3.56219,8.84377,3.01638
4.05923,8.82777,-2.365
-0.408701,8.77175,4.78427
-2.93482,8.76775,-3.80963
1.24329,8.75575,-4.66809
-4.55513,8.74775,-1.65157
-4.50969,8.67574,2.09627
-1.93513,8.59972,-4.7223
1.08871,8.58372,5.01343
5.10268,8.57572,-0.647916
-3.12095,8.43569,4.37023
-0.651517,8.43169,-5.33687
-2.14155,8.38368,5.01276
-5.29897,8.37167,1.35498
4.53299,8.29166,3.27115
3.66267,8.28366,-4.23862
5.60998,8.27165,0.328457
-5.48986,8.25565,-1.30603
-5.71757,8.20364,-0.0984429
2.56602,8.17564,5.15505
3.65867,8.12362,4.54102
4.85274,8.11562,-3.25385
-5.15841,8.08762,-2.82512
6.06715,7.86357,-1.16357
-0.453616,7.83957,6.19156
-3.85128,7.83557,-4.8756
-5.20206,7.82757,3.41581
-1.95763,7.80356,-5.93903
6.05067,7.74755,1.83435
2.35997,7.73955,-5.87622
-3.35774,7.72355,5.39189
-6.11557,7.65953,1.98277
6.10375,7.59152,-2.26122
5.5203,7.57952,3.47523
3.95016,7.57151,-5.20273
-1.67716,7.53551,6.35636
-6.61699,7.4915,0.304766
6.58683,7.4755,0.85478
1.4293,7.46749,-6.49566
1.16388,7.43149,6.58926
0.00165146,7.41548,-6.70899
-6.64301,7.32346,-1.49577
-1.14986,7.14343,-6.90284
3.71637,7.10742,5.9727
-2.62522,7.09142,-6.5437
-5.74327,7.07141,-4.12431
-4.61584,7.06341,5.36677
6.11223,6.96339,-3.7619
5.45108,6.91938,4.73369
6.3836,6.86737,3.4769
7.27112,6.84737,-0.494316
-1.4146,6.82336,7.17221
-3.80323,6.81936,-6.24753
-6.57911,6.79936,-3.23791
-3.80453,6.79136,6.27718
4.84949,6.77536,-5.52965
-5.75001,6.75935,4.60962
-7.01008,6.72735,2.36678
1.74657,6.71934,7.19722
-7.42558,6.69534,-0.182278
0.530354,6.61932,-7.47685
3.07453,6.58732,-6.86691
-4.93923,6.54731,-5.7216
-7.25513,6.52731,-2.18115
-2.81049,6.5193,7.04271
7.39542,6.45929,1.89349
-6.73583,6.45529,3.59969
7.2727,6.43929,-2.37559
-7.58862,6.42329,1.07438
0.408119,6.41528,7.66013
1.95981,6.31526,-7.50177
-5.98827,6.27526,-4.97612
5.58906,6.12322,5.59183
-6.9083,6.0032,-4.0295
-6.60174,5.96319,4.56699
-2.70161,5.93919,-7.57808
7.11384,5.93519,3.76388
-7.79072,5.93119,2.03118
-8.03814,5.89918,-0.766824
6.59855,5.85117,4.71412
7.09203,5.81116,-3.99168
-0.612586,5.77115,-8.14362
4.80599,5.70714,-6.65815
8.21641,5.69514,-0.236778
-1.90723,5.67113,8.01254
7.82002,5.66313,2.60312
4.32475,5.59912,7.06728
1.64223,5.56711,8.14312
6.48457,5.53911,-5.22194
0.917213,5.46709,-8.32284
3.72586,5.43509,-7.52182
-5.24884,5.39508,-6.58353
3.02255,5.29506,7.92632
-4.45566,5.28306,7.22747
0.120387,5.26305,8.5021
-6.38575,5.12302,-5.74255
-7.92925,5.08302,3.36005
-8.61953,5.05101,0.437066
6.06181,5.04701,-6.14672
-8.26426,5.019,-2.5518
-3.26727,5.011,8.01342
-7.80442,4.71494,-4.10613
8.53032,4.71094,-2.24515
8.79983,4.67894,0.818903
-7.04324,4.67493,5.34207
2.74574,4.58692,-8.4511
-2.2223,4.56691,-8.61421
5.48833,4.55491,-7.00935
-2.40308,4.5189,8.59097
-4.03256,4.5149,-7.95953
8.35138,4.5109,3.1474
-1.05934,4.4829,-8.87589
6.77715,4.4789,5.83178
1.42891,4.41488,8.85816
-6.16329,4.40288,6.52905
4.32422,4.28286,-7.93462
8.44798,4.21884,-3.29136
7.5639,4.16683,-5.04231
-5.07644,4.13083,7.56082
9.09328,4.05081,-0.950387
3.63546,4.0068,8.41005
-6.58094,3.97079,-6.39719
-3.81204,3.85877,8.40108
-8.35287,3.79476,3.9786
-9.22385,3.76275,0.873048
1.55419,3.73875,-9.14365
-8.97616,3.73075,-2.34735
7.10052,3.67473,-6.00657
-5.36555,3.66673,-7.60039
-3.18667,3.4987,-8.80933
-9.05678,3.4907,2.40618
0.0286763,3.46669,-9.37983
-9.34445,3.45869,-0.847734
9.05962,3.44269,2.46396
3.24866,3.43469,-8.81187
-8.49725,3.42669,-4.00682
7.67419,3.41068,5.429
6.08189,3.40268,-7.17164
5.35273,3.37868,7.74163
2.37513,3.34667,9.11913
-0.898295,3.31466,9.39181
-6.75531,3.25065,6.61809
-4.64049,3.22665,-8.24952
-7.60135,3.16663,5.6738
8.54683,3.13863,4.13529
-7.70152,3.12262,-5.562
6.61697,3.10662,6.82382
0.663488,3.04261,9.50275
-5.62862,2.9786,7.71016
8.74853,2.93059,-3.85679
9.55044,2.89858,-0.622306
-1.88094,2.87457,9.39143
-1.84735,2.83857,-9.40903
-6.61498,2.81856,-6.94966
-8.25517,2.72655,4.94147
0.707699,2.67053,-9.6108
8.05954,2.65853,-5.28924
1.98942,2.58652,-9.45263
-3.6049,2.57051,8.96645
5.11584,2.55451,-8.20382
9.21463,2.4905,-2.98128
9.68636,2.45849,0.360915
9.55024,2.40648,-1.73257
9.57284,2.37448,1.65001
4.51377,2.36247,8.60492
6.26644,2.31046,7.44268
9.28601,2.29046,2.91955
7.72695,2.25845,5.93242
6.58562,2.25045,-7.18089
2.08838,2.19444,9.53012
-9.492,1.9824,2.44379
-7.7177,1.97039,-6.04604
-9.76074,1.95039,-0.961259
-8.8444,1.91838,-4.25399
-7.60689,1.87838,6.21345
-0.707589,1.82236,-9.80705
-5.86535,1.80236,-7.89615
-4.30682,1.77435,8.8489
-4.76571,1.71834,-8.62179
3.9418,1.70634,-9.03054
3.19427,1.70234,9.32195
-3.58142,1.63433,-9.19252
-1.51411,1.58632,9.75659
-7.1162,1.53031,-6.85696
5.56327,1.40228,-8.19046
